date,product_id,quantity,unit_price
2021-01-01,P0001,13,62.48801829529295
2021-01-02,P0002,6,94.61320408574888
2021-01-03,P0003,11,98.82071433370398
2021-01-04,P0004,16,90.67112955204001
2021-01-05,P0005,2,95.47003281138001
2021-01-06,P0006,10,14.20629194037507
2021-01-07,P0007,12,14.293835304399725
2021-01-08,P0008,10,16.223821744956822
2021-01-09,P0009,2,72.296726243598
2021-01-10,P0010,12,20.929573220361384
2021-01-11,P0011,10,51.14150575673704
2021-01-12,P0012,19,36.52467837970578
2021-01-13,P0013,9,64.01593034263585
2021-01-14,P0014,6,61.28216573762724
2021-01-15,P0015,16,37.25492971250498
2021-01-16,P0016,15,56.26204095529183
2021-01-17,P0017,10,14.793416131744848
2021-01-18,P0018,3,99.63920734434866
2021-01-19,P0019,19,25.972158400059797
2021-01-20,P0020,17,55.64425916706571
2021-01-21,P0021,9,27.285241034665184
2021-01-22,P0022,11,34.75894755863686
2021-01-23,P0023,3,18.39794125840939
2021-01-24,P0024,7,18.531001215858545
2021-01-25,P0025,2,43.36920297352579
2021-01-26,P0026,4,38.81124438846207
2021-01-27,P0027,8,37.587137277533685
2021-01-28,P0028,13,30.56508146887235
2021-01-29,P0029,6,25.574371041213894
2021-01-30,P0030,6,68.8788812885979
2021-01-31,P0031,15,64.6631721334861
2021-02-01,P0032,9,26.68938610790566
2021-02-02,P0033,16,32.039464943214206
2021-02-03,P0034,4,69.55137363667691
2021-02-04,P0035,6,95.37896425141187
2021-02-05,P0036,2,42.49322237870335
2021-02-06,P0037,7,94.88692465444116
2021-02-07,P0038,4,40.17936385577754
2021-02-08,P0039,7,41.374278679075815
2021-02-09,P0040,6,27.855774473675964
2021-02-10,P0041,19,22.90385687562712
2021-02-11,P0042,12,18.204615349757567
2021-02-12,P0043,1,49.33868718076827
2021-02-13,P0044,15,36.98648593513613
2021-02-14,P0045,11,94.63039997789848
2021-02-15,P0046,19,10.52654011918031
2021-02-16,P0047,9,15.44771308060086
2021-02-17,P0048,10,59.26303860173676
2021-02-18,P0049,11,61.430036379356835
2021-02-19,P0050,19,74.96675610324569
2021-02-20,P0051,7,51.923655476120935
2021-02-21,P0052,19,44.7166972345963
2021-02-22,P0053,5,67.44349152763598
2021-02-23,P0054,3,37.39886945838661
2021-02-24,P0055,1,29.879535890607404
2021-02-25,P0056,7,33.30441915351948
2021-02-26,P0057,5,22.15761428929261
2021-02-27,P0058,13,97.00395405656559
2021-02-28,P0059,5,66.80914726274175
2021-03-01,P0060,9,60.50228412662241
2021-03-02,P0061,18,81.4543356682531
2021-03-03,P0062,11,95.70881634896043
2021-03-04,P0063,6,19.363435128412938
2021-03-05,P0064,18,61.37593310083115
2021-03-06,P0065,13,53.90474623345898
2021-03-07,P0066,6,46.59462484588655
2021-03-08,P0067,12,44.572837163736764
2021-03-09,P0068,13,54.01095941169757
2021-03-10,P0069,8,79.68440230843868
2021-03-11,P0070,15,76.4583932997048
2021-03-12,P0071,19,18.442443265168798
2021-03-13,P0072,2,17.657682272117597
2021-03-14,P0073,2,71.55520768514666
2021-03-15,P0074,18,81.6409479300929
2021-03-16,P0075,2,45.068010224493186
2021-03-17,P0076,6,40.18661415126978
2021-03-18,P0077,11,27.894000445104954
2021-03-19,P0078,14,94.24465040014707
2021-03-20,P0079,14,89.6639144215299
2021-03-21,P0080,10,22.163804796084413
2021-03-22,P0081,16,88.7304058306223
2021-03-23,P0082,5,66.75891720856197
2021-03-24,P0083,14,91.82459543514653
2021-03-25,P0084,10,64.76436255276127
2021-03-26,P0085,10,52.37560398150948
2021-03-27,P0086,16,19.226260655522175
2021-03-28,P0087,15,79.25883486081246
2021-03-29,P0088,4,40.64843241406582
2021-03-30,P0089,8,89.75366356939686
2021-03-31,P0090,2,76.1843261545678
2021-04-01,P0091,5,12.31305770561783
2021-04-02,P0092,10,10.731574021211356
2021-04-03,P0093,3,92.6629556122275
2021-04-04,P0094,6,89.69351192944569
2021-04-05,P0095,4,40.575884119707986
2021-04-06,P0096,18,70.19592690893512
2021-04-07,P0097,4,43.29198453212981
2021-04-08,P0098,2,95.06455290690253
2021-04-09,P0099,2,44.730758332791815
2021-04-10,P0100,4,21.3161082122676
2021-04-11,P0101,17,40.731358640135745
2021-04-12,P0102,13,30.432363610180268
2021-04-13,P0103,5,77.83566483564599
2021-04-14,P0104,6,56.10628816121032
2021-04-15,P0105,10,29.04029615184504
2021-04-16,P0106,10,32.62467493278898
2021-04-17,P0107,9,28.77445639113909
2021-04-18,P0108,18,22.885746186204376
2021-04-19,P0109,11,52.60328309255501
2021-04-20,P0110,2,61.158690365571964
2021-04-21,P0111,12,65.97851229031454
2021-04-22,P0112,9,70.4379566455313
2021-04-23,P0113,19,90.8715308928462
2021-04-24,P0114,4,68.2297251078441
2021-04-25,P0115,11,77.89646000987729
2021-04-26,P0116,16,71.19548949754383
2021-04-27,P0117,9,47.44224706700204
2021-04-28,P0118,10,16.102601111772735
2021-04-29,P0119,9,41.95224253190757
2021-04-30,P0120,6,39.102997995384825
